River,CDWR,USGS,Sample,Survey,Dist from,,Dist from,
Segment,Stream Gauge,Stream Gauge,Point,Point,USR Upstream,,River Segment,
Name,Name,Name,,,Boundary,,Stream Gauge,
,,,,,mi,km,mi,km
,ARKJMRCO,7130500,,,-22,-35.4,,
F,ARKLAMCO,7133000,D101C,DSS1,0,0,0,0
,,,D102C,DSS4,7.9,12.7,7.9,12.7
,,,,DSS5,10.3,16.6,10.3,16.6
,BIGLAMCO,7134100,D23,,11.6,18.7,11.6,18.7
,,,,DSS6,14.9,24,14.9,24
,,,D103C,DSS7,17.6,28.3,17.6,28.3
,,,,DSS8,20.5,33,20.5,33
,BUFDITCO,,D36,DSS9,23.4,37.7,23.4,37.7
G,,,,DSS10,23.5,37.8,-1.4,-2.3
,ARKGRACO,7134180,D104C,,24.9,40.1,0,0
,,,,DSS13,29.3,47.2,4.4,7.1
,,,D105C,DSS14,31.2,50.2,6.3,10.1
,,,,DSS15,33.9,54.6,9,14.5
,,,,DSS16,37,59.5,12.1,19.5
,WILDHOCO,7134990,D57,,38.1,61.3,13.2,21.2
,,,D106C,DSS17,38.9,62.6,14,22.5
,FRODITKS,7137000,,,43.5,70,,
,ARKCOOKS,7137500,,DSS20,46.2,74.4,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
